Case ID,Response 1,Response 2,Response 3,Response 4,Response 5,,,,,,,,
99817,Mostly not match,Mostly not match,Mostly not match,Totally not match,Mostly not match,,,,,,,,
100237,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
100271,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,Totally match,22,22,22,22
100343,Totally match,Totally match,Totally match,Totally match,Totally match,,,,Mostly match,15,17,13,14
102804,Totally match,Totally match,Totally match,Totally match,Totally match,,,,Partially match,5,3,6,5
103341,Totally not match,Totally not match,Totally not match,Totally not match,Totally not match,,,,Mostly not match,4,6,7,8
103378,Mostly match,Mostly match,Mostly match,Partially match,Partially match,,,,Totally not match,4,2,2,1
105203,Totally match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
105222,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
108812,Mostly not match,Totally not match,Mostly not match,Mostly not match,Mostly not match,,,,,,,,
108909,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
109176,Mostly match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
109204,Mostly not match,Mostly not match,Partially match,Partially match,Partially match,,,,,,,,
109514,Totally not match,Totally not match,Totally not match,Mostly not match,Mostly not match,,,,,,,,
109525,Partially match,Partially match,Partially match,Partially match,Partially match,,,,,,,,
109536,Mostly not match,Mostly not match,Mostly not match,Mostly not match,Mostly not match,,,,,,,,
115419,Partially match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
115527,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
115565,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
116194,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
116427,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
117021,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
117070,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
117265,Mostly not match,Partially match,Partially match,Partially match,Mostly not match,,,,,,,,
117330,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
119489,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
119839,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
119897,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
119946,Partially match,Partially match,Mostly match,Partially match,Partially match,,,,,,,,
120278,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
120516,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
120523,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
120565,Totally match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
121251,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
121520,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
122080,Partially match,Partially match,Mostly not match,Mostly not match,Mostly not match,,,,,,,,
122157,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
122168,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
125249,Mostly match,Totally not match,Mostly not match,Mostly not match,Mostly not match,,,,,,,,
128051,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
128058,Totally match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,
128060,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
128062,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
128064,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
128066,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
128697,Partially match,Partially match,Mostly match,Partially match,Partially match,,,,,,,,
128719,Mostly match,Mostly match,Mostly match,Mostly not match,Mostly match,,,,,,,,
128730,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
128741,Mostly not match,Mostly not match,Mostly not match,Mostly not match,Mostly not match,,,,,,,,
128763,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,
