scenarios,response 1,response 2,response 3,response 4,response 5,,,,,,,,,
100237,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
100271,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
109176,Mostly not match,Mostly not match,Partially match,Partially match,Mostly not match,,,,Totally match,25,19,19,19,19
115419,Partially match,Partially match,Partially match,Partially match,Partially match,,,,Mostly match,7,14,12,12,11
115565,Totally match,Totally match,Totally match,Totally match,Totally match,,,,Partially match,3,1,4,4,4
117070,Totally match,Totally match,Totally match,Totally match,Totally match,,,,Mostly not match,2,2,1,2,2
125249,Totally match,Totally match,Totally match,Totally match,Totally match,,,,Totally not match,3,4,4,3,4
128066,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
128730,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
128741,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
102804,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
115419,Partially match,Mostly match,Partially match,Partially match,Partially match,,,,,,,,,
117021,Totally match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
117265,Totally match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
120516,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
120565,Totally match,Totally match,Totally match,Mostly match,Totally match,,,,,,,,,
121520,Totally match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
125249,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
128058,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
128062,Totally match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
100237,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
128064,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
128763,Totally not match,Totally not match,Totally not match,Totally not match,Totally not match,,,,,,,,,
128741,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
128719,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
128066,Totally match,Mostly match,Mostly match,Totally match,Partially match,,,,,,,,,
120516,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
120278,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
119946,Mostly not match,Totally not match,Totally not match,Mostly not match,Totally not match,,,,,,,,,
119897,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
119839,Totally not match,Totally not match,Totally not match,Totally not match,Totally not match,,,,,,,,,
119489,Totally not match,Totally not match,Totally not match,Totally not match,Totally not match,,,,,,,,,
117330,Mostly match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
117265,Mostly match,Mostly match,Partially match,Partially match,Partially match,,,,,,,,,
117070,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
116427,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
116194,Partially match,Mostly not match,Mostly not match,Mostly not match,Mostly not match,,,,,,,,,
115565,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
109176,Totally match,Mostly match,Mostly match,Mostly match,Mostly match,,,,,,,,,
105222,Totally match,Totally match,Totally match,Totally match,Totally match,,,,,,,,,
